pid,sid,date,lat,lon,temp,rh,elv,solar,ndvi,mixed_hardwood,dwarf_shrub,grassland,pine_forest,residential_area,sand,ecotone_length,t_adult,t_nymph,host_hbt,fid
1,CM001,5/12/2017,40.92256,-73.47001,63.85,47.5,35.31000137,3205.969971,-0.00544235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,,0
1,CM002,5/12/2017,40.922509999999996,-73.47044,62.2,43.9,35.22000122,2826.209961,0.08131050299999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,,1
1,CM003,5/12/2017,40.92239,-73.47084,60.9,44.75,35.52999878,3718.25,0.27067801399999997,0.98,0.02,0.0,0.0,0.0,0.0,5.194438203927375,9,0,,2
1,CM004,5/12/2017,40.9224,-73.47112,60.0,44.0,34.95999908,3551.280029,0.16848500100000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,,3
1,CM005,5/12/2017,40.92249,-73.47151,60.15,43.55,35.15000153,3708.169922,0.32829201199999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,,4
1,CM006,5/12/2017,40.9227,-73.47189,60.5,44.6,34.18000031,3454.1999509999996,0.280903012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,,5
1,CM007,5/12/2017,40.92272,-73.47215,60.06666667,42.76666667,34.04999924,2635.050049,0.245105997,1.0,0.0,0.0,0.0,0.0,0.0,0.8991108384183044,5,0,,6
1,CM008,5/12/2017,40.92292,-73.47259,63.4,39.5,32.40000153,3525.209961,0.263069987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,,7
1,CM009,5/12/2017,40.92304,-73.4727,68.03333333,34.7,32.49000168,3585.1298829999996,0.13658699400000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,,8
1,CM010,5/12/2017,40.92317,-73.47313,67.0,32.7,34.79999924,4286.640136999999,0.151638001,0.89,0.11,0.0,0.0,0.0,0.0,17.991673030316246,8,0,,9
1,CM011,5/12/2017,40.923390000000005,-73.47353000000001,64.0,34.16666667,31.60000038,4467.930176,0.196272001,0.99,0.01,0.0,0.0,0.0,0.0,7.474361161960118,17,0,,10
1,CM012,10/27/2017,40.92289,-73.46993,,,35.06999969,1840.699951,0.073249802,0.99,0.01,0.0,0.0,0.0,0.0,3.7729320938494686,5,0,,11
1,CM013,10/27/2017,40.92307,-73.4701,,,35.54000092,3892.75,0.21124100699999998,0.93,0.07,0.0,0.0,0.0,0.0,15.38606897008703,3,0,,12
1,CM014,10/27/2017,40.92308,-73.47019,,,35.50999832,4439.200195,0.096297003,0.804878049,0.19512195100000002,0.0,0.0,0.0,0.0,40.53041613962075,9,0,,13
1,CM015,10/27/2017,40.922979999999995,-73.47059,,,34.52999878,4209.919922,0.287782997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,,14
1,CM016,10/27/2017,40.923140000000004,-73.47065,,,35.00999832,4319.149902,0.24547100100000002,0.98,0.02,0.0,0.0,0.0,0.0,5.65896253626992,5,0,,15
1,CM017,10/27/2017,40.92313,-73.47095,,,34.75999832,4768.959961,0.30434098800000003,0.96,0.04,0.0,0.0,0.0,0.0,12.175215360931364,9,0,,16
1,CM018,10/27/2017,40.92322,-73.47157,,,32.47000122,3587.860107,0.294766009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,,17
1,CM019,10/27/2017,40.92325,-73.47188,,,33.0,4237.049805,0.343519986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,,18
1,CM020,10/27/2017,40.922470000000004,-73.47112,,,35.06000137,2889.429932,0.194922,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,,19
1,CM021,10/27/2017,40.9221,-73.47128000000001,,,34.50999832,4915.160156,0.24573999600000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,,20
1,CM022,10/27/2017,40.921929999999996,-73.47151,,,33.24000168,3696.4399409999996,0.223495007,0.99,0.01,0.0,0.0,0.0,0.0,2.401237967016336,1,0,,21
1,CM023,10/27/2017,40.921859999999995,-73.47159,,,31.79999924,4027.0600590000004,0.198530003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,,22
1,CM024,10/27/2017,40.92183,-73.47164000000001,,,30.84499931,3827.9499509999996,0.25031501100000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,,23
1,CM025,10/27/2017,40.9217,-73.47182,,,27.97999954,3787.209961,0.253284991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,,24
1,CM026,10/27/2017,40.92181,-73.47188,,,27.70999908,5211.470215,0.140396997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,,25
1,CM027,10/27/2017,40.92158,-73.47198,,,26.84000015,2326.320068,0.019242198999999998,0.93,0.07,0.0,0.0,0.0,0.0,10.596277064805067,10,0,,26
1,CM028,10/27/2017,40.92178,-73.47204,,,26.62999916,3289.719971,0.137059003,1.0,0.0,0.0,0.0,0.0,0.0,0.26116965990513563,2,0,,27
1,CM029,4/26/2018,40.921665999999995,-73.47033499999999,74.3,25.7,34.65999985,3940.030029,-0.138534993,0.19,0.3,0.51,0.0,0.0,0.0,34.84321923960086,6,0,0.0,28
1,CM030,4/26/2018,40.925077,-73.471588,71.7,27.3,33.47000122,4513.549805,0.22643199600000002,0.92,0.08,0.0,0.0,0.0,0.0,7.244742778358277,10,0,1.0,29
