pid,sid,date,lat,lon,temp,rh,elv,solar,ndvi,t_adult,t_nymph,fid
1,CM001,5/12/2017,40.92256,-73.47001,63.85,47.5,35.31000137,3205.969971,-0.00544235,5,0,0
1,CM002,5/12/2017,40.92251,-73.47044,62.2,43.9,35.22000122,2826.209961,0.081310503,15,0,1
1,CM003,5/12/2017,40.92239,-73.47084,60.9,44.75,35.52999878,3718.25,0.270678014,9,0,2
1,CM004,5/12/2017,40.9224,-73.47112,60,44,34.95999908,3551.280029,0.168485001,5,0,3
1,CM005,5/12/2017,40.92249,-73.47151,60.15,43.55,35.15000153,3708.169922,0.328292012,11,0,4
1,CM006,5/12/2017,40.9227,-73.47189,60.5,44.6,34.18000031,3454.199951,0.280903012,7,0,5
1,CM007,5/12/2017,40.92272,-73.47215,60.06666667,42.76666667,34.04999924,2635.050049,0.245105997,5,0,6
1,CM008,5/12/2017,40.92292,-73.47259,63.4,39.5,32.40000153,3525.209961,0.263069987,8,0,7
1,CM009,5/12/2017,40.92304,-73.4727,68.03333333,34.7,32.49000168,3585.129883,0.136586994,19,0,8
1,CM010,5/12/2017,40.92317,-73.47313,67,32.7,34.79999924,4286.640137,0.151638001,8,0,9
1,CM011,5/12/2017,40.92339,-73.47353,64,34.16666667,31.60000038,4467.930176,0.196272001,17,0,10
1,CM012,10/27/2017,40.92289,-73.46993,,,35.06999969,1840.699951,0.073249802,5,0,11
1,CM013,10/27/2017,40.92307,-73.4701,,,35.54000092,3892.75,0.211241007,3,0,12
1,CM014,10/27/2017,40.92308,-73.47019,,,35.50999832,4439.200195,0.096297003,9,0,13
1,CM015,10/27/2017,40.92298,-73.47059,,,34.52999878,4209.919922,0.287782997,4,0,14
1,CM016,10/27/2017,40.92314,-73.47065,,,35.00999832,4319.149902,0.245471001,5,0,15
1,CM017,10/27/2017,40.92313,-73.47095,,,34.75999832,4768.959961,0.304340988,9,0,16
1,CM018,10/27/2017,40.92322,-73.47157,,,32.47000122,3587.860107,0.294766009,6,0,17
1,CM019,10/27/2017,40.92325,-73.47188,,,33,4237.049805,0.343519986,4,0,18
1,CM020,10/27/2017,40.92247,-73.47112,,,35.06000137,2889.429932,0.194922,6,0,19
1,CM021,10/27/2017,40.9221,-73.47128,,,34.50999832,4915.160156,0.245739996,3,0,20
1,CM022,10/27/2017,40.92193,-73.47151,,,33.24000168,3696.439941,0.223495007,1,0,21
